date,lat,lon,intensity
1951/03/04,34.750,-121.750,4.27
1951/05/04,36.244,-120.373,3.35
1951/05/04,36.305,-120.305,3.46
1951/05/06,36.415,-120.485,3.31
1951/05/25,36.522,-120.518,3.27
1951/06/05,37.621,-118.442,3.45
1951/06/19,36.103,-121.086,3.54
1951/07/03,36.556,-120.495,3.44
1951/09/05,37.794,-118.547,3.04
1951/09/09,38.671,-118.838,4.18
1951/09/30,38.000,-118.500,3.13
1951/10/01,38.222,-118.493,3.97
1951/10/03,35.869,-120.451,3.67
1951/11/28,37.942,-118.348,3.91
1951/12/20,36.038,-120.252,3.69
1951/12/28,37.665,-118.198,4.96
1952/02/04,37.550,-118.530,3.86
1952/03/08,36.668,-120.944,3.80
1952/03/09,36.049,-120.440,3.15
1952/03/09,35.986,-120.360,3.28
1952/05/24,36.156,-114.461,4.78
1952/05/24,36.100,-114.700,3.63
1952/05/25,36.000,-115.000,3.67
1952/06/17,37.546,-118.440,3.10
1952/08/10,37.307,-117.586,3.09
1952/10/09,34.964,-122.934,4.72
1952/11/22,35.723,-121.328,6.20
1952/11/22,35.669,-121.147,4.16
1952/11/22,35.699,-121.116,3.91
1952/11/25,35.738,-121.255,3.63
1952/11/25,35.828,-121.052,4.16
1952/11/26,35.788,-121.068,3.44
1952/12/02,35.605,-121.146,3.69
1952/12/12,37.000,-121.000,3.67
1953/02/03,35.413,-121.212,4.30
1953/02/07,37.268,-118.255,3.59
1953/04/10,37.698,-118.760,4.16
1953/04/29,35.916,-121.341,3.77
1953/05/14,35.640,-121.400,3.90
1953/05/15,36.458,-121.297,3.85
1953/05/18,36.022,-113.784,3.70
1953/05/28,36.004,-120.501,3.61
1953/05/29,35.806,-121.101,3.56
1953/05/31,36.035,-120.498,3.48
1953/06/22,35.916,-120.784,4.46
1953/08/13,37.717,-118.698,3.76
1953/09/16,37.218,-116.984,3.70
1953/09/22,36.439,-121.034,3.81
1953/10/01,35.754,-121.849,3.26
1953/10/10,30.906,-115.450,5.14
1953/10/16,35.902,-120.646,3.57
1953/10/24,35.834,-121.597,3.90
1953/10/29,36.306,-121.746,3.89
1953/10/30,37.603,-118.203,4.03
1954/01/04,36.013,-120.909,3.59
1954/01/17,37.485,-118.395,3.12
1954/01/22,37.336,-117.976,3.03
1954/03/09,35.875,-120.525,3.86
1954/03/17,35.764,-121.483,3.63
1954/03/21,36.986,-121.579,3.60
1954/03/25,38.892,-118.817,3.96
1954/03/27,36.460,-121.488,4.47
1954/04/01,36.676,-121.356,3.82
1954/04/01,36.062,-120.880,3.42
1954/04/19,30.890,-116.193,4.01
1954/05/31,31.010,-115.238,5.18
1954/06/07,37.586,-118.507,3.68
1954/06/19,37.516,-118.386,3.18
1954/07/17,38.711,-116.348,3.87
1954/07/20,39.185,-116.383,4.61
1954/08/20,37.765,-118.334,4.27
1954/08/20,37.652,-118.312,3.18
1954/09/02,36.223,-120.437,3.35
1954/09/22,37.666,-118.501,3.81
1954/10/17,30.610,-116.906,5.77
1954/11/01,37.103,-120.553,3.82
1954/11/12,30.847,-116.171,4.33
1954/11/26,37.593,-118.598,3.48
1954/12/22,35.995,-120.614,3.67
1954/12/31,37.511,-117.957,3.72
1955/03/02,35.902,-120.999,4.77
1955/03/02,36.025,-120.972,3.74
1955/06/10,37.515,-118.497,3.97
1955/08/08,39.299,-118.933,5.23
1955/09/03,37.722,-119.261,3.25
1955/09/11,37.686,-118.419,3.02
1955/09/21,36.303,-121.558,3.52
1955/10/22,36.127,-120.302,3.77
1955/11/02,36.572,-120.700,4.87
1955/11/08,37.451,-118.755,4.13
1955/11/12,36.519,-120.693,3.61
1955/11/19,36.044,-120.908,3.38
1955/12/11,36.520,-120.501,3.48
1955/12/16,35.818,-120.964,3.70
1956/01/24,37.363,-118.780,3.26
1956/01/26,37.481,-117.579,3.44
1956/01/31,38.797,-119.379,3.53
1956/02/15,36.226,-120.350,3.60
1956/02/18,36.748,-121.482,3.90
1956/02/19,36.578,-121.506,3.86
1956/02/19,36.461,-121.638,3.96
1956/04/27,38.122,-118.283,3.34
1956/05/04,35.693,-120.868,3.25
1956/07/04,37.796,-119.414,4.08
1956/07/16,30.800,-115.500,4.88
1956/08/12,38.005,-118.738,3.79
1956/09/01,30.676,-115.917,4.13
